City,State,Latitude,Longitude,Population
Chicago,IL,41.8373,-87.6862,8604203
Washington,DC,38.9047,-77.0163,5379184
Denver,CO,39.7621,-104.8759,2876625
Baltimore,MD,39.3051,-76.6144,2106068
St. Louis,MO,38.6358,-90.2451,2024074
Providence,RI,41.823,-71.4187,1203230
Jacksonville,FL,30.3322,-81.6749,1181496
Memphis,TN,35.1046,-89.9773,1066967
Raleigh,NC,35.8325,-78.6435,1038738
New Orleans,LA,30.0687,-89.9288,1020886
